feature_dim,config,seed,parameters,best_epoch,validation_auroc,validation_auprc,test_auroc,test_auprc
64,ft_small,11,21313,3,0.6607445008460238,0.286861241216717,,
64,ft_small,22,21313,5,0.6789340101522843,0.2978967001421803,,
64,ft_small,33,21313,5,0.6123096446700507,0.23987662548348626,,
64,ft_small,44,21313,3,0.6584179357021996,0.21238546746655795,,
64,ft_small,55,21313,21,0.6169627749576988,0.28171432627213894,,
64,ft_medium,11,75393,14,0.6469966159052454,0.249845349433395,0.5794001395024413,0.17951848060226436
64,ft_medium,22,75393,3,0.6854906937394247,0.2632756316438854,0.5668449197860963,0.1920171024331992
64,ft_medium,33,75393,18,0.6290186125211507,0.2789405289351862,0.560799813996745,0.19563638724617197
64,ft_medium,44,75393,8,0.6207698815566836,0.25083805052299046,0.5910253429435015,0.20098159828619197
64,ft_medium,55,75393,2,0.726522842639594,0.2874775050387667,0.5621948384096722,0.13543329818255848
70,ft_small,11,21697,3,0.602580372250423,0.2225016644826918,,
70,ft_small,22,21697,2,0.6207698815566837,0.2791683030211857,,
70,ft_small,33,21697,24,0.6319796954314721,0.27115012997963844,,
70,ft_small,44,21697,5,0.6364213197969544,0.30557551030697416,,
70,ft_small,55,21697,42,0.6247884940778342,0.251301395271628,,
70,ft_medium,11,76161,28,0.5875634517766498,0.2670368488224215,0.5387119274587305,0.21705428132796498
70,ft_medium,22,76161,13,0.6089255499153977,0.2920208628513763,0.5484770983492211,0.2027930033027441
70,ft_medium,33,76161,2,0.6503807106598984,0.2943928196279798,0.5719600093001628,0.14727386521462515
70,ft_medium,44,76161,44,0.5782571912013537,0.2909141710122106,0.5203441060218554,0.1897376838192778
70,ft_medium,55,76161,29,0.5674703891708968,0.27882185219357836,0.4826784468728203,0.11733322831564938
