feature_dim,config,seed,parameters,best_epoch,validation_auroc,validation_auprc,test_auroc,test_auprc
64,mlp_4hidden,11,19681,91,0.6560913705583756,0.31569198140085786,0.6084631481050918,0.20512208706451962
64,mlp_4hidden,22,19681,38,0.6895093062605753,0.307036552663697,0.5919553592187863,0.2753900185618499
64,mlp_4hidden,33,19681,9,0.6797800338409475,0.26639028785598917,0.6500813764240874,0.23468467887993338
64,mlp_4hidden,44,19681,35,0.6628595600676819,0.28585612599542715,0.6533364333875843,0.2538621150430636
64,mlp_4hidden,55,19681,3,0.7861675126903552,0.37861284411338975,0.609858172518019,0.1684104936618953
64,mlp_5hidden,11,30209,24,0.6379018612521151,0.2851431813256198,,
64,mlp_5hidden,22,30209,37,0.6734348561759729,0.26383315499272664,,
64,mlp_5hidden,33,30209,18,0.6343062605752962,0.23572970218409978,,
64,mlp_5hidden,44,30209,18,0.6742808798646363,0.310741144071498,,
64,mlp_5hidden,55,30209,3,0.7093908629441624,0.3503428576408379,,
70,mlp_4hidden,11,20449,20,0.7470389170896785,0.37003761869904667,0.625668449197861,0.2067430835445556
70,mlp_4hidden,22,20449,25,0.6835871404399323,0.36570389707356454,0.653103929318763,0.1989103685490635
70,mlp_4hidden,33,20449,23,0.6937394247038917,0.3074521879464372,0.6419437340153452,0.2893784644305739
70,mlp_4hidden,44,20449,41,0.593062605752961,0.258951633001353,0.658684026970472,0.23746153733038833
70,mlp_4hidden,55,20449,51,0.5560490693739426,0.3068178287223432,0.6607765635898627,0.33946661675532713
70,mlp_5hidden,11,30977,133,0.6670896785109983,0.3035693841950935,,
70,mlp_5hidden,22,30977,38,0.673434856175973,0.2904417528219222,,
70,mlp_5hidden,33,30977,21,0.7036802030456853,0.247359853238385,,
70,mlp_5hidden,44,30977,47,0.6457275803722504,0.28157396006471824,,
70,mlp_5hidden,55,30977,6,0.6641285956006768,0.29342214089414126,,
