feature,importance,rank
ddg_esm2,0.03668644,1
ddg_rasp,0.022988794,2
PC36,0.022246093,3
PC17,0.020538067,4
PC11,0.020228578,5
plddt,0.019842388,6
PC30,0.019444045,7
PC50,0.019443542,8
PC33,0.019047003,9
PC1,0.018987812,10
PC20,0.018653939,11
PC37,0.018504566,12
PC38,0.018335354,13
PC4,0.018234689,14
PC42,0.01807057,15
PC28,0.017981572,16
PC5,0.017795803,17
PC35,0.017696183,18
PC6,0.017694082,19
PC25,0.017493702,20
PC19,0.017408602,21
PC21,0.017016822,22
PC8,0.01690036,23
ss_coil,0.016763195,24
PC46,0.016651208,25
ddg_foldx,0.016574485,26
PC26,0.016547272,27
PC12,0.016432637,28
PC45,0.016245835,29
PC39,0.016200028,30
ddg_struct,0.016096126,31
PC41,0.016040532,32
PC18,0.015997859,33
PC29,0.015961343,34
PC15,0.015267133,35
sasa,0.015164459,36
PC14,0.015102622,37
PC23,0.014948114,38
PC22,0.014925458,39
PC2,0.014808337,40
PC9,0.014800103,41
PC13,0.014757782,42
PC48,0.014729718,43
PC49,0.0144825345,44
PC31,0.0143547775,45
PC24,0.014200678,46
PC7,0.014158387,47
rsa,0.014117881,48
PC32,0.0139108,49
delta_hydrophobicity,0.013695772,50
PC3,0.01342643,51
PC34,0.013097472,52
PC44,0.012958856,53
PC10,0.01294203,54
ss_helix,0.012929997,55
PC16,0.012795994,56
PC47,0.012716948,57
PC43,0.012163712,58
PC40,0.012099084,59
PC27,0.011596999,60
ss_strand,0.00909828,61
