feature,importance,rank
in_TMD,0.03655056,1
ddg_esm2,0.036359124,2
dist_to_nearest_TMD,0.029026886,3
delta_membrane_insertion,0.02683545,4
PC9,0.020570735,5
PC1,0.020370025,6
ddg_rasp,0.0199625,7
PC36,0.019710513,8
PC39,0.01841747,9
PC33,0.018253485,10
PC37,0.017913755,11
PC42,0.017469304,12
PC5,0.01725154,13
plddt,0.016980885,14
ss_coil,0.01621778,15
PC13,0.016086418,16
PC29,0.016009921,17
PC41,0.016004058,18
PC30,0.015945533,19
PC25,0.01588106,20
PC16,0.015707793,21
PC21,0.015686158,22
PC4,0.015531222,23
PC19,0.015486946,24
PC11,0.015453056,25
PC17,0.0153914485,26
PC2,0.015311901,27
sasa,0.015159893,28
ddg_struct,0.015078454,29
PC7,0.014721148,30
rsa,0.014374893,31
PC34,0.014321111,32
PC15,0.014230969,33
PC28,0.01417116,34
PC38,0.013742736,35
ddg_foldx,0.013715181,36
PC14,0.013706968,37
PC24,0.01361974,38
PC35,0.013613959,39
PC46,0.013612644,40
PC3,0.013518626,41
PC50,0.0134683745,42
PC49,0.013432691,43
PC20,0.013378071,44
PC18,0.013337894,45
ss_strand,0.013285298,46
PC23,0.013232534,47
PC6,0.013091812,48
PC26,0.013080332,49
PC22,0.013048975,50
PC47,0.013041908,51
PC43,0.012927366,52
PC40,0.012908927,53
ss_helix,0.012759646,54
PC8,0.012586177,55
delta_hydrophobicity,0.012509976,56
PC44,0.0122337695,57
PC12,0.011515234,58
PC31,0.011122696,59
PC45,0.010806882,60
PC10,0.010721404,61
PC48,0.010601372,62
PC32,0.010390582,63
PC27,0.008545075,64
