scope,model,fold,n,n_positive,prevalence,auroc,auprc
fold,stability_61,0.0,406,47,0.11576354679802955,0.6458839566170805,0.1860042836179836
fold,stability_tmd_64,0.0,406,47,0.11576354679802955,0.6607597937533338,0.21651029376980618
fold,stability_61,1.0,430,41,0.09534883720930233,0.5958994294313122,0.1478494131136479
fold,stability_tmd_64,1.0,430,41,0.09534883720930233,0.63138754780864,0.2200344466223239
fold,stability_61,2.0,431,51,0.11832946635730858,0.5924148606811146,0.19720874909169936
fold,stability_tmd_64,2.0,431,51,0.11832946635730858,0.6483488132094942,0.24018365860229557
fold,stability_61,3.0,454,63,0.13876651982378854,0.6416189664271505,0.24863340731653408
fold,stability_tmd_64,3.0,454,63,0.13876651982378854,0.6343522916412941,0.22902083728392672
fold,stability_61,4.0,458,34,0.07423580786026202,0.697558268590455,0.1572270911391521
fold,stability_tmd_64,4.0,458,34,0.07423580786026202,0.6743201997780245,0.16954066204220128
full_oof,stability_61,,2179,236,0.10830656264341441,0.6286408402173819,0.17576208713124347
full_oof,stability_tmd_64,,2179,236,0.10830656264341441,0.6421683226183519,0.19809834685617844
paired_alphamissense,alphamissense,,2140,235,0.10981308411214953,0.6490713128943988,0.16193050573865858
paired_alphamissense,stability_61,,2140,235,0.10981308411214953,0.6311364270955492,0.17797883843856452
paired_alphamissense,stability_tmd_64,,2140,235,0.10981308411214953,0.6442419165689395,0.1999253403648842
