scope,replicate,kind,name,n,auroc,auprc
task15_full_oof,0,model,stability_61,2219,0.6508011454303013,0.18675379751844964
task15_full_oof,0,model,stability_tmd_64,2219,0.6765973725053008,0.2049111719221013
task15_full_oof,0,difference,stability_tmd_64_minus_stability_61,2219,0.02579622707499951,0.018157374403651644
task15_full_oof,1,model,stability_61,2119,0.6027023792426636,0.15403205885064314
task15_full_oof,1,model,stability_tmd_64,2119,0.6304873378333093,0.1760043097746511
task15_full_oof,1,difference,stability_tmd_64_minus_stability_61,2119,0.02778495859064578,0.021972250924007952
task15_full_oof,2,model,stability_61,2244,0.6483511054838732,0.20412562897384057
task15_full_oof,2,model,stability_tmd_64,2244,0.6533351142077182,0.2241299174317288
task15_full_oof,2,difference,stability_tmd_64_minus_stability_61,2244,0.004984008723844968,0.020004288457888236
task15_full_oof,3,model,stability_61,2126,0.6451485645632722,0.16438244257932175
task15_full_oof,3,model,stability_tmd_64,2126,0.6399586032702391,0.17475571077016527
task15_full_oof,3,difference,stability_tmd_64_minus_stability_61,2126,-0.005189961293033063,0.010373268190843526
task15_full_oof,4,model,stability_61,2107,0.6345993705099433,0.17665073840437626
task15_full_oof,4,model,stability_tmd_64,2107,0.6294947613065918,0.18413072461210417
task15_full_oof,4,difference,stability_tmd_64_minus_stability_61,2107,-0.00510460920335154,0.007479986207727912
task15_full_oof,5,model,stability_61,2177,0.6264556305137521,0.18806261714107878
task15_full_oof,5,model,stability_tmd_64,2177,0.6251873378308251,0.18167906363714065
task15_full_oof,5,difference,stability_tmd_64_minus_stability_61,2177,-0.0012682926829269414,-0.0063835535039381275
task15_full_oof,6,model,stability_61,2169,0.6214207761822136,0.19772301144802423
task15_full_oof,6,model,stability_tmd_64,2169,0.6371293192114127,0.20457986211527146
task15_full_oof,6,difference,stability_tmd_64_minus_stability_61,2169,0.015708543029199107,0.006856850667247227
task15_full_oof,7,model,stability_61,2186,0.6365404585030754,0.22558590307637413
task15_full_oof,7,model,stability_tmd_64,2186,0.6713854940490455,0.2820473282873531
task15_full_oof,7,difference,stability_tmd_64_minus_stability_61,2186,0.03484503554597007,0.056461425210978994
task15_full_oof,8,model,stability_61,2230,0.6511232323232323,0.20368048395746313
task15_full_oof,8,model,stability_tmd_64,2230,0.6544848484848486,0.2294733396978715
task15_full_oof,8,difference,stability_tmd_64_minus_stability_61,2230,0.003361616161616232,0.025792855740408377
task15_full_oof,9,model,stability_61,2081,0.6392503489067588,0.1973336774590972
task15_full_oof,9,model,stability_tmd_64,2081,0.6515739571564654,0.20470943029302646
task15_full_oof,9,difference,stability_tmd_64_minus_stability_61,2081,0.012323608249706575,0.007375752833929272
task15_full_oof,10,model,stability_61,2157,0.6133111991146313,0.1851489223442917
task15_full_oof,10,model,stability_tmd_64,2157,0.6285895880279656,0.1965737848706487
task15_full_oof,10,difference,stability_tmd_64_minus_stability_61,2157,0.015278388913334329,0.011424862526356994
task15_full_oof,11,model,stability_61,2243,0.6154819212885131,0.1905906273509907
task15_full_oof,11,model,stability_tmd_64,2243,0.6546039413149198,0.23218898060357546
task15_full_oof,11,difference,stability_tmd_64_minus_stability_61,2243,0.039122020026406745,0.04159835325258476
task15_full_oof,12,model,stability_61,2182,0.633310656453672,0.16928947316182438
task15_full_oof,12,model,stability_tmd_64,2182,0.6501650372908688,0.20660040889973103
task15_full_oof,12,difference,stability_tmd_64_minus_stability_61,2182,0.016854380837196814,0.03731093573790664
task15_full_oof,13,model,stability_61,2301,0.6474071474071474,0.14951935170618297
task15_full_oof,13,model,stability_tmd_64,2301,0.6536233202899869,0.1702049631620176
task15_full_oof,13,difference,stability_tmd_64_minus_stability_61,2301,0.006216172882839488,0.02068561145583464
task15_full_oof,14,model,stability_61,2130,0.6346640534132375,0.21911354070514716
task15_full_oof,14,model,stability_tmd_64,2130,0.661822666336763,0.2363523626764687
task15_full_oof,14,difference,stability_tmd_64_minus_stability_61,2130,0.027158612923525505,0.01723882197132154
task15_full_oof,15,model,stability_61,2170,0.6071584884199381,0.1446630889871849
task15_full_oof,15,model,stability_tmd_64,2170,0.6351540120714643,0.17586736583787704
task15_full_oof,15,difference,stability_tmd_64_minus_stability_61,2170,0.027995523651526133,0.03120427685069213
task15_full_oof,16,model,stability_61,2147,0.6168603870571763,0.15671659566487262
task15_full_oof,16,model,stability_tmd_64,2147,0.6254075800295376,0.18278255658656783
task15_full_oof,16,difference,stability_tmd_64_minus_stability_61,2147,0.008547192972361284,0.02606596092169522
task15_full_oof,17,model,stability_61,2200,0.6144496891525754,0.17973182284024
task15_full_oof,17,model,stability_tmd_64,2200,0.6489383093797355,0.22783417919489823
task15_full_oof,17,difference,stability_tmd_64_minus_stability_61,2200,0.03448862022716015,0.04810235635465823
task15_full_oof,18,model,stability_61,2295,0.6258207098662307,0.16093703489531383
task15_full_oof,18,model,stability_tmd_64,2295,0.6254423077697222,0.174147272260542
task15_full_oof,18,difference,stability_tmd_64_minus_stability_61,2295,-0.0003784020965085233,0.013210237365228167
task15_full_oof,19,model,stability_61,2077,0.6299671770177387,0.1585377474500909
task15_full_oof,19,model,stability_tmd_64,2077,0.6533136807013211,0.1731932763510476
task15_full_oof,19,difference,stability_tmd_64_minus_stability_61,2077,0.023346503683582376,0.0146555289009567
task15_full_oof,20,model,stability_61,2195,0.6351242585965651,0.203282562678957
task15_full_oof,20,model,stability_tmd_64,2195,0.6465987279023597,0.2240414787451146
task15_full_oof,20,difference,stability_tmd_64_minus_stability_61,2195,0.011474469305794655,0.020758916066157596
task15_full_oof,21,model,stability_61,2176,0.6184388223642748,0.18680974426692368
task15_full_oof,21,model,stability_tmd_64,2176,0.6443023918849975,0.2187293676422699
task15_full_oof,21,difference,stability_tmd_64_minus_stability_61,2176,0.025863569520722662,0.031919623375346234
task15_full_oof,22,model,stability_61,2089,0.6190778697596175,0.18687561102202388
task15_full_oof,22,model,stability_tmd_64,2089,0.6342467572712382,0.21353920876820537
task15_full_oof,22,difference,stability_tmd_64_minus_stability_61,2089,0.01516888751162071,0.02666359774618149
task15_full_oof,23,model,stability_61,2173,0.6230177306387399,0.16937705308257672
task15_full_oof,23,model,stability_tmd_64,2173,0.6252357323418085,0.17619867300503278
task15_full_oof,23,difference,stability_tmd_64_minus_stability_61,2173,0.0022180017030686283,0.006821619922456057
task15_full_oof,24,model,stability_61,2110,0.6269912056737589,0.18299634701232725
task15_full_oof,24,model,stability_tmd_64,2110,0.6533174468085106,0.2118963109029963
task15_full_oof,24,difference,stability_tmd_64_minus_stability_61,2110,0.026326241134751682,0.02889996389066904
task15_full_oof,25,model,stability_61,2280,0.6496053753196611,0.1820686135269059
task15_full_oof,25,model,stability_tmd_64,2280,0.6558812615955474,0.19585285584946513
task15_full_oof,25,difference,stability_tmd_64_minus_stability_61,2280,0.006275886275886267,0.013784242322559231
