stratifier,level,FN,FP,TN,TP,sensitivity,specificity,precision
fold,0,24,72,287,23,0.48936170212765956,0.7994428969359332,0.24210526315789474
fold,1,24,76,313,17,0.4146341463414634,0.8046272493573264,0.1827956989247312
fold,2,28,93,287,23,0.45098039215686275,0.7552631578947369,0.19827586206896552
fold,3,42,83,308,21,0.3333333333333333,0.7877237851662404,0.20192307692307693
fold,4,16,113,311,18,0.5294117647058824,0.7334905660377359,0.13740458015267176
source,additional_benign,0,9,80,1,1.0,0.898876404494382,0.1
source,main,134,428,1426,101,0.4297872340425532,0.7691477885652643,0.19092627599243855
tmd_group,in_TMD,9,51,61,30,0.7692307692307693,0.5446428571428571,0.37037037037037035
tmd_group,outside_TMD,125,386,1445,72,0.36548223350253806,0.789186237028946,0.1572052401746725
am_available,False,1,2,36,0,0.0,0.9473684210526315,0.0
am_available,True,133,435,1470,102,0.4340425531914894,0.7716535433070866,0.18994413407821228
