replicate,wt70-am_delta_auroc,wt70-am_delta_auprc,wt70-xgb64_delta_auroc,wt70-xgb64_delta_auprc,xgb64-am_delta_auroc,xgb64-am_delta_auprc
0,-0.0014417244778043292,0.08268398950255768,-0.01461626672732097,0.049388665793361985,0.013174542249516641,0.03329532370919569
1,0.010122429975767955,0.08785517106042498,0.018672423097679358,0.054439663993556736,-0.008549993121911403,0.033415507066868244
2,0.0291019849365709,0.10340536820214416,0.010883404150879739,0.06386845346747066,0.018218580785691163,0.039536914734673495
3,0.0040858189329534556,0.10438773281595937,0.022121756926048897,0.04204906293196001,-0.01803593799309544,0.06233866988399936
4,-0.035883144339803996,0.04110146443082183,-0.024419672411215898,0.009058105596868538,-0.011463471928588098,0.03204335883395329
5,-0.00040685486413205574,0.05833142949510989,0.009884701469012103,0.039655633850712135,-0.010291556333144158,0.018675795644397752
6,-0.02377795517915604,0.046759588652517003,0.0021265026089571926,0.029293497312283506,-0.025904457788113233,0.017466091340233497
7,0.06309167487252487,0.1488679054654065,0.007597324727744326,0.08726808643175513,0.055494350144780547,0.06159981903365139
8,0.03181262900711901,0.08077659356786296,0.03540797843211585,0.030076111096802527,-0.003595349424996841,0.05070048247106043
9,-0.021918335216103313,0.047384447854817185,0.010756250945091361,0.05156183341151524,-0.032674586161194674,-0.0041773855566980544
10,0.021150440971158035,0.10575717501330192,0.01507644635134664,0.03769844991868451,0.006073994619811396,0.06805872509461741
11,0.049133677245710494,0.12576936942715117,0.005687370832598959,0.05177414451808776,0.043446306413111535,0.0739952249090634
12,0.02234815320377148,0.12161017118783873,0.020394844183390437,0.06691954019453952,0.0019533090203810444,0.05469063099329921
13,0.01835321727200745,0.08106129860757158,0.03323253510844082,0.05209074610796005,-0.01487931783643337,0.02897055249961153
14,0.022642296590294153,0.10945960973366536,0.0049183655060436315,0.0589918174762597,0.01772393108425052,0.050467792257405664
15,-0.002897256674619042,0.09453069574881182,-0.002829824536927261,0.033595321035859105,-6.74321376917808e-05,0.06093537471295271
16,0.021327976406727567,0.10324579765968858,0.015204078482774053,0.04737076346213412,0.006123897923953514,0.05587503419755446
17,0.05305669939816271,0.12266622024398877,0.036541371907225506,0.05015694409047161,0.016515327490937204,0.07250927615351715
18,-0.01580335879116368,0.05461478248878614,-0.017445799457994626,0.025593377894801234,0.0016424406668309466,0.029021404593984904
19,0.035400706829278206,0.12321773195764887,0.031216931216931143,0.05726032604788239,0.004183775612347063,0.06595740590976648
20,0.03408663929442479,0.14153769990447024,0.012957409064721093,0.06555189177367915,0.0211292302297037,0.07598580813079109
21,-0.011964529814056157,0.06525292676568084,0.012989228698226607,0.034672922828398484,-0.024953758512282764,0.030580003937282357
22,0.012671891293013604,0.07415573135090703,0.011209593326381717,0.035456675649278235,0.001462297966631887,0.03869905570162879
23,0.020831655017178208,0.13530216489793942,-0.0023291079256012592,0.0603671092492295,0.023160762942779467,0.07493505564870992
24,-0.004086299463114007,0.05728630995594175,0.02732153509644064,0.06055745524890019,-0.03140783455955465,-0.0032711452929584384
25,0.019860686163997165,0.11585195851298646,0.02512521316173033,0.0695094135286013,-0.0052645269977331655,0.04634254498438517
26,-0.03300508192227403,0.0494847733485404,0.014880964932627583,0.0577939740364061,-0.04788604685490161,-0.008309200687865698
27,0.010002525554625108,0.09807800165397787,0.02961323567855445,0.04806147939096145,-0.019610710123929342,0.05001652226301642
28,-0.020491370558375688,0.05885753948254749,-0.002720812182741117,0.03836966844909123,-0.01777055837563457,0.020487871033456256
29,-0.06387900049871875,0.012507009340765235,-0.01998806022950883,0.04170075955043123,-0.04389094026920992,-0.029193750209665997
30,0.01282467532467546,0.10296185447782336,0.020086119554204696,0.05896510399459867,-0.007261444229529235,0.043996750483224684
31,0.013437329700272338,0.04446073269304135,0.03715531335149869,0.043390122963087974,-0.02371798365122635,0.0010706097299533757
32,-0.01344030921495698,0.09810016097222904,0.016561252476745558,0.05744641359142347,-0.03000156169170254,0.04065374738080557
33,0.01660096185489568,0.10905215866664131,0.025178900925314385,0.04991363305379132,-0.008577939070418705,0.05913852561284999
34,-0.013489597154267452,0.08579357375180527,-0.012206648961250566,0.041506970882129235,-0.0012829481930168862,0.044286602869676034
35,0.00999228773480576,0.09045759634660405,0.023958026814065225,0.04935699773458738,-0.013965739079259465,0.041100598612016676
36,-0.022478463747307997,0.04838181263204491,-0.005112296174751285,0.051198869741530956,-0.017366167572556712,-0.002817057109486043
37,0.017047940890085433,0.06334207727334115,0.019355060427286852,0.03720395939920562,-0.0023071195372014186,0.02613811787413553
38,0.008589364430833135,0.09789465218126644,-0.014617249861589077,0.030670354719548737,0.023206614292422212,0.06722429746171771
39,-0.0038108628089388308,0.08289899297685072,0.0011727456599440744,0.031319344074321354,-0.004983608468882905,0.05157964890252936
40,0.00638981169410946,0.07165314277569212,0.009726992655989863,0.03561706384991703,-0.003337180961880404,0.036036078925775095
41,0.02801131473434504,0.1327277293073212,0.017263366710749906,0.0818935274956929,0.010747948023595133,0.050834201811628316
42,0.0011197854505118343,0.08156881665842255,0.009901383993971669,0.030903554492916346,-0.008781598543459834,0.05066526216550621
43,0.02283968386894164,0.1318574698623227,0.015089064517254558,0.03875398920248885,0.0077506193516870825,0.09310348065983384
44,-0.012901678772659575,0.06973102839017939,-0.011591869785466224,0.026007787257499554,-0.0013098089871933505,0.043723241132679835
45,0.04939431251832316,0.08791551168791234,0.019914394605687447,0.032533046460663656,0.02947991791263571,0.055382465227248684
46,-0.03186184414177362,0.05421343074070545,-0.013675804828973792,0.037050682666646406,-0.01818603931279983,0.017162748074059042
47,0.013694404622943468,0.07417832240649672,0.021073094522682134,0.04765417983489034,-0.007378689899738666,0.026524142571606374
48,0.035213773725709996,0.09967767840664057,0.024249554499751746,0.03866478050369179,0.01096421922595825,0.06101289790294878
49,0.004905796729611334,0.0852789978031655,0.013848265599343046,0.05203081376336438,-0.008942468869731712,0.03324818403980112
50,0.027161627886679862,0.06608865258922356,0.004420569393775442,0.016415153463725157,0.02274105849290442,0.0496734991254984
51,0.04950366550913754,0.13762973448214172,0.04062576730155398,0.05230323308498297,0.008877898207583557,0.08532650139715875
52,-0.016513476010167505,0.08061334670066964,0.00104887296341738,0.04532421314735005,-0.017562348973584885,0.035289133553319585
53,0.01151243709215255,0.09694532731334574,0.020559127356786888,0.05266788269542477,-0.009046690264634338,0.044277444617920964
54,0.00738524191964629,0.07136171382912063,0.034692548606158446,0.05310248027658662,-0.027307306686512156,0.018259233552534004
55,0.0017053524706586165,0.09065220829193033,0.01172721835987145,0.0589646048342517,-0.010021865889212833,0.031687603457678626
56,-0.01712796800363281,0.057127079312124796,0.0033511479046047787,0.027678856360967646,-0.02047911590823759,0.02944822295115715
57,0.03562868731563418,0.1078766928288406,0.01634237198396482,0.0437746001853781,0.019286315331669357,0.0641020926434625
58,0.028905531467612655,0.0902517382518967,0.01941679805544616,0.053429764567797605,0.009488733412166495,0.03682197368409909
59,-0.005258602087256703,0.06586929054876334,-0.007160232266164357,0.026216752785712782,0.001901630178907654,0.039652537763050555
60,0.041225147960449404,0.17201816632071257,0.02019837332104768,0.07414006072830276,0.021026774639401724,0.09787810559240981
61,0.017230348181677457,0.1005009736033751,0.04645078734779007,0.07007765179362163,-0.02922043916611261,0.030423321809753462
62,0.019594128289780466,0.1013800283067405,0.01202366963236523,0.04020687191144812,0.0075704586574152355,0.06117315639529239
63,0.026397880726238943,0.1199258407795116,0.060492343477418054,0.09328318215726444,-0.03409446275117911,0.026642658622247156
64,-0.01763273016504263,0.027311603493453213,0.018969974149930513,0.026411418969774836,-0.036602704314973145,0.0009001845236783768
65,-0.012652342513453707,0.047097663610245616,0.0065141263057929555,0.016233165368932906,-0.019166468819246663,0.03086449824131271
66,0.01647110974218957,0.07817409056464511,0.00769602171035666,0.05046992359528027,0.008775088031832912,0.02770416696936484
67,0.022001141665241475,0.07352164541464401,0.006500747862990375,0.026984414767562193,0.0155003938022511,0.04653723064708182
68,0.05207654372609538,0.11786811847982206,0.025631817790513156,0.06865794348042203,0.026444725935582225,0.04921017499940003
69,-0.03579102432074577,0.07887721657742486,0.01668228170562691,0.06924264427235022,-0.05247330602637268,0.00963457230507464
70,0.013119757212030292,0.11957121380982233,0.014117165655050168,0.060321427910480174,-0.000997408443019876,0.059249785899342156
71,0.042068743681646925,0.10010401562472246,0.04056612443709218,0.03589656778930339,0.0015026192445547482,0.06420744783541907
72,-0.015507938600069826,0.06585707667462448,0.016718237754220433,0.0586372423032929,-0.03222617635429026,0.007219834371331585
73,-0.015554802531617895,0.10256795249792497,0.00030169539695901193,0.0592467091274447,-0.015856497928576907,0.04332124337048027
74,-0.014296217196564265,0.1166032872527197,0.0315014682887762,0.03912733323251438,-0.04579768548534047,0.07747595402020532
75,-0.018946666375106558,0.02238660656185318,-0.0017624805930331888,0.0025824263864005492,-0.01718418578207337,0.01980418017545263
76,-0.01132844885279638,0.06268894169369718,0.03443359004325108,0.05447198030524214,-0.04576203889604746,0.00821696138845504
77,0.01729997298236141,0.10468484971724584,0.005831950287544907,0.03701158501119081,0.011468022694816504,0.06767326470605503
78,0.0061995660547551346,0.09483470608440789,-0.019317877081352464,0.030831281519397513,0.025517443136107598,0.06400342456501038
79,0.006056346737444929,0.08690596707058657,0.02887021128837397,0.04412258364948077,-0.02281386455092904,0.0427833834211058
80,-0.026008603304225053,0.05542692240004371,0.005934889080956629,0.030519125559338778,-0.03194349238518168,0.024907796840704932
81,0.009542261697433996,0.05925586115183262,0.016501219087425967,0.05222307346695898,-0.006958957389991971,0.007032787684873643
82,0.038175355401717015,0.14861183079824286,0.022772737417356193,0.044624790621961175,0.015402617984360822,0.10398704017628169
83,0.013199653080605445,0.08973158128098924,0.054257030447506516,0.06395498229983215,-0.04105737736690107,0.025776598981157084
84,-0.015202084554981954,0.08350568520561943,0.0011705781465625176,0.04034070514973498,-0.01637266270154447,0.043164980055884455
85,0.0036817846195152937,0.08873947687957345,0.015563958561743418,0.050599462804530926,-0.011882173942228125,0.03814001407504253
86,-0.001022012578616227,0.09753820912422434,0.0064814814814815325,0.04690518031339541,-0.0075034940600977595,0.05063302881082893
87,-0.010134432971454999,0.08567980570061454,0.012026002166847238,0.05344891889864367,-0.022160435138302237,0.032230886801970865
88,-0.000713669959440999,0.047546030555299545,0.01050720029394725,0.05730383096624103,-0.011220870253388249,-0.009757800410941486
