replicate,comparison,delta_auroc,delta_auprc
0,wt_loc_73-xgboost_64,0.01625899957280197,0.042018155794422085
0,wt_signal_70-xgboost_64,0.03750132274613849,0.042319835191572036
0,wt_context_79-xgboost_64,0.03699769940153086,0.06357302364245992
0,wt_context_tm_80-xgboost_64,0.041469561161821766,0.0688778742207769
1,wt_loc_73-xgboost_64,0.023772011121408698,0.0582298761031374
1,wt_signal_70-xgboost_64,0.03387009576768607,0.0864555555642797
1,wt_context_79-xgboost_64,0.04782591906085876,0.08797595756335946
1,wt_context_tm_80-xgboost_64,0.04710766141489031,0.06913539635829596
2,wt_loc_73-xgboost_64,-0.01581753867272051,0.00047234188471059757
2,wt_signal_70-xgboost_64,0.018541787656406794,0.06939897640248446
2,wt_context_79-xgboost_64,0.01576051950794577,0.03989474042043453
2,wt_context_tm_80-xgboost_64,0.010119845837073038,0.022943936760454697
3,wt_loc_73-xgboost_64,-0.011614851908154256,0.0027275199677326556
3,wt_signal_70-xgboost_64,0.03960873150714872,0.0752969302692301
3,wt_context_79-xgboost_64,0.018294136934036698,0.030354928155816197
3,wt_context_tm_80-xgboost_64,0.007660436972786067,0.03608736293373915
4,wt_loc_73-xgboost_64,-0.03169681309216188,0.007011028077138742
4,wt_signal_70-xgboost_64,0.0057912870030373265,0.05054326847980464
4,wt_context_79-xgboost_64,-0.006246883358266397,0.032326051201770595
4,wt_context_tm_80-xgboost_64,-0.0010403916768665367,0.04444328692172464
5,wt_loc_73-xgboost_64,-0.03549318292845416,0.01609471567986409
5,wt_signal_70-xgboost_64,-0.005797841630767908,0.027753995676116
5,wt_context_79-xgboost_64,-0.017742150375272048,0.026584830228026213
5,wt_context_tm_80-xgboost_64,-0.006497313141182404,0.032904269723701224
6,wt_loc_73-xgboost_64,-0.01625693326176425,0.030748196347533452
6,wt_signal_70-xgboost_64,0.015972445875827468,0.045154310871957204
6,wt_context_79-xgboost_64,0.008758275183395892,0.05279064442316683
6,wt_context_tm_80-xgboost_64,0.0031400966183574575,0.03786904849917766
7,wt_loc_73-xgboost_64,-0.05590871625798477,0.020425637631704435
7,wt_signal_70-xgboost_64,-0.01868947043066138,0.03263080276539759
7,wt_context_79-xgboost_64,-0.028294354007830202,0.03188998891413067
7,wt_context_tm_80-xgboost_64,-0.029134040799505434,0.02736880626236221
8,wt_loc_73-xgboost_64,0.009648629431927902,0.04856565968881313
8,wt_signal_70-xgboost_64,0.019286646644946948,0.06387594273141431
8,wt_context_79-xgboost_64,0.020640765777716452,0.07997129067068223
8,wt_context_tm_80-xgboost_64,0.02594050790079694,0.07178448691731645
9,wt_loc_73-xgboost_64,-0.02925290324878882,-0.007650070907255363
9,wt_signal_70-xgboost_64,-0.010519824023938473,0.02556235735190257
9,wt_context_79-xgboost_64,-0.023482028355656825,0.00689352740046828
9,wt_context_tm_80-xgboost_64,-0.010473069250498734,0.007620174830006654
10,wt_loc_73-xgboost_64,-0.060175705984581995,-0.005794494955092017
10,wt_signal_70-xgboost_64,-0.011715575246355248,0.02941028632795456
10,wt_context_79-xgboost_64,-0.04731566444469437,0.01163454638390915
10,wt_context_tm_80-xgboost_64,-0.02318419641326852,0.003774245060635728
11,wt_loc_73-xgboost_64,-0.02435407218212937,0.011606348129261923
11,wt_signal_70-xgboost_64,0.028855624506121225,0.07860054740032207
11,wt_context_79-xgboost_64,0.015976391193135986,0.05790467758823187
11,wt_context_tm_80-xgboost_64,0.004731873012781884,0.05022250151394919
12,wt_loc_73-xgboost_64,0.0016791222337535494,0.03847765777735471
12,wt_signal_70-xgboost_64,0.019437935925964323,0.059539916444199065
12,wt_context_79-xgboost_64,0.009707637853442641,0.041934725340036116
12,wt_context_tm_80-xgboost_64,0.01475633466424342,0.04451067043796558
13,wt_loc_73-xgboost_64,0.022902325410292024,0.05801804731715576
13,wt_signal_70-xgboost_64,0.030278157145681717,0.06391115445139223
13,wt_context_79-xgboost_64,0.038748407804402474,0.09364394241093704
13,wt_context_tm_80-xgboost_64,0.04465735031062179,0.0889933613281037
14,wt_loc_73-xgboost_64,0.003742747755959952,0.04189657297749799
14,wt_signal_70-xgboost_64,0.01429536607075832,0.07197680505548171
14,wt_context_79-xgboost_64,0.02248651431145232,0.06993920610295298
14,wt_context_tm_80-xgboost_64,0.023844198740978206,0.05836684968498895
15,wt_loc_73-xgboost_64,0.0029716697237189837,0.048090676740741356
15,wt_signal_70-xgboost_64,0.0232664364324201,0.06889790890378866
15,wt_context_79-xgboost_64,0.025901352745615114,0.06664216916856602
15,wt_context_tm_80-xgboost_64,0.03397985211509802,0.07770689445533685
16,wt_loc_73-xgboost_64,-0.029602342947657956,0.02301615204524074
16,wt_signal_70-xgboost_64,0.010550662326585192,0.030008685782786232
