model,feature,importance,rank_within_model
wt_context_79,ddg_esm2,0.031256326,1
wt_context_79,dist_to_nearest_TMD,0.027784204,2
wt_context_79,deeploc_wt_loc_lysosome_vacuole,0.02081576,3
wt_context_79,deeploc_wt_signal_signal_peptide,0.018129343,4
wt_context_79,deeploc_wt_loc_peroxisome,0.01738563,5
wt_context_79,deeploc_wt_loc_cell_membrane,0.017179038,6
wt_context_79,ddg_rasp,0.01573671,7
wt_context_79,deeploc_wt_signal_nuclear_localisation_signal,0.015568162,8
wt_context_79,deeploc_wt_signal_gpi_anchor,0.015344526,9
wt_context_79,deeploc_wt_loc_golgi_apparatus,0.014951192,10
wt_context_79,PC34,0.0144827785,11
wt_context_79,deeploc_wt_signal_peroxisomal_targeting_signal,0.014166753,12
wt_context_79,PC8,0.013897911,13
wt_context_79,deeploc_wt_loc_extracellular,0.013855757,14
wt_context_79,deeploc_wt_loc_endoplasmic_reticulum,0.013574615,15
wt_context_79,PC21,0.013392046,16
wt_context_79,ddg_foldx,0.013243392,17
wt_context_79,PC50,0.013118083,18
wt_context_79,PC45,0.012996068,19
wt_context_79,PC42,0.012995061,20
wt_context_79,PC1,0.012993234,21
wt_context_79,PC40,0.012922158,22
wt_context_79,sasa,0.012910974,23
wt_context_79,PC4,0.012871616,24
wt_context_79,PC11,0.012837455,25
wt_context_79,deeploc_wt_loc_mitochondrion,0.012832068,26
wt_context_79,deeploc_wt_signal_nuclear_export_signal,0.012804525,27
wt_context_79,deeploc_wt_signal_mitochondrial_transit_peptide,0.01277944,28
wt_context_79,ddg_struct,0.01274165,29
wt_context_79,PC30,0.01269117,30
wt_context_79,plddt,0.012682466,31
wt_context_79,deeploc_wt_loc_nucleus,0.012679848,32
wt_context_79,PC2,0.012654801,33
wt_context_79,PC23,0.012569177,34
wt_context_79,PC39,0.0125578465,35
wt_context_79,PC7,0.012507176,36
wt_context_79,PC15,0.012356257,37
wt_context_79,PC38,0.012295211,38
wt_context_79,PC36,0.012292985,39
wt_context_79,PC20,0.012180256,40
wt_context_79,PC41,0.012167575,41
wt_context_79,PC29,0.0120929135,42
wt_context_79,PC9,0.012000966,43
wt_context_79,PC19,0.011911851,44
wt_context_79,PC43,0.011764643,45
wt_context_79,PC16,0.011747207,46
wt_context_79,PC25,0.011745036,47
wt_context_79,PC5,0.011591257,48
wt_context_79,PC6,0.011552258,49
wt_context_79,PC49,0.0114932945,50
wt_context_79,delta_hydrophobicity,0.011432356,51
wt_context_79,PC46,0.011411821,52
wt_context_79,PC27,0.01135334,53
wt_context_79,PC35,0.011295361,54
wt_context_79,PC22,0.01126754,55
wt_context_79,PC24,0.011264862,56
wt_context_79,PC48,0.011190951,57
wt_context_79,PC14,0.011190675,58
wt_context_79,PC18,0.011144868,59
wt_context_79,rsa,0.011064281,60
wt_context_79,PC33,0.010999774,61
wt_context_79,PC44,0.0109714735,62
wt_context_79,PC32,0.010766112,63
wt_context_79,PC10,0.010621772,64
wt_context_79,PC13,0.010544789,65
wt_context_79,deeploc_wt_loc_cytoplasm,0.010502418,66
wt_context_79,PC26,0.01045546,67
wt_context_79,PC37,0.010414353,68
wt_context_79,PC17,0.010329434,69
wt_context_79,PC3,0.010315367,70
wt_context_79,PC47,0.010225589,71
wt_context_79,in_TMD,0.010193701,72
wt_context_79,PC28,0.01013785,73
wt_context_79,PC31,0.010076635,74
wt_context_79,PC12,0.009477223,75
wt_context_79,delta_membrane_insertion,0.009460164,76
wt_context_79,ss_helix,0.009155357,77
