replicate,comparison,delta_auroc,delta_auprc
0,wt_signal_70-xgboost_64,0.03750132274613849,0.042319835191572036
0,xgboost_64_plus_delta_71-xgboost_64,-0.002800302565931556,-0.0026348034969398693
0,xgboost_64_plus_delta_71-wt_signal_70,-0.040301625312070044,-0.044954638688511905
0,wt_signal_70_plus_delta_77-xgboost_64,0.015541777222115472,0.015777096905057936
0,wt_signal_70_plus_delta_77-wt_signal_70,-0.021959545524023016,-0.0265427382865141
1,wt_signal_70-xgboost_64,0.03387009576768607,0.0864555555642797
1,xgboost_64_plus_delta_71-xgboost_64,-0.0043751930800123295,-0.004723425150330363
1,xgboost_64_plus_delta_71-wt_signal_70,-0.0382452888476984,-0.09117898071461006
1,wt_signal_70_plus_delta_77-xgboost_64,0.010142493049119516,0.02936194452167512
1,wt_signal_70_plus_delta_77-wt_signal_70,-0.023727602718566554,-0.057093611042604575
2,wt_signal_70-xgboost_64,0.018541787656406794,0.06939897640248446
2,xgboost_64_plus_delta_71-xgboost_64,-0.0014444855076288787,0.006486274210283943
2,xgboost_64_plus_delta_71-wt_signal_70,-0.019986273164035673,-0.06291270219220052
2,wt_signal_70_plus_delta_77-xgboost_64,0.028292064832902364,0.05492597985199857
2,wt_signal_70_plus_delta_77-wt_signal_70,0.00975027717649557,-0.014472996550485895
3,wt_signal_70-xgboost_64,0.03960873150714872,0.0752969302692301
3,xgboost_64_plus_delta_71-xgboost_64,0.0028043558178583172,-0.008749277139729172
3,xgboost_64_plus_delta_71-wt_signal_70,-0.0368043756892904,-0.08404620740895927
3,wt_signal_70_plus_delta_77-xgboost_64,0.01880582630381422,0.03820219146053297
3,wt_signal_70_plus_delta_77-wt_signal_70,-0.0208029052033345,-0.037094738808697125
4,wt_signal_70-xgboost_64,0.0057912870030373265,0.05054326847980464
4,xgboost_64_plus_delta_71-xgboost_64,-0.006516614533750298,0.0034235431096969193
4,xgboost_64_plus_delta_71-wt_signal_70,-0.012307901536787624,-0.04711972537010772
4,wt_signal_70_plus_delta_77-xgboost_64,-0.00967178929235224,0.04163860191244831
4,wt_signal_70_plus_delta_77-wt_signal_70,-0.015463076295389566,-0.008904666567356334
5,wt_signal_70-xgboost_64,-0.005797841630767908,0.027753995676116
5,xgboost_64_plus_delta_71-xgboost_64,-0.021392725496291676,-0.0003811146015253175
5,xgboost_64_plus_delta_71-wt_signal_70,-0.015594883865523768,-0.028135110277641318
5,wt_signal_70_plus_delta_77-xgboost_64,-0.008229337833636774,0.021052158860785986
5,wt_signal_70_plus_delta_77-wt_signal_70,-0.002431496202868866,-0.0067018368153300145
6,wt_signal_70-xgboost_64,0.015972445875827468,0.045154310871957204
6,xgboost_64_plus_delta_71-xgboost_64,-0.02213812846663088,-0.018332707881692556
6,xgboost_64_plus_delta_71-wt_signal_70,-0.03811057434245835,-0.06348701875364976
6,wt_signal_70_plus_delta_77-xgboost_64,0.0013025585972445963,0.0333843433916855
6,wt_signal_70_plus_delta_77-wt_signal_70,-0.014669887278582872,-0.011769967480271704
7,wt_signal_70-xgboost_64,-0.01868947043066138,0.03263080276539759
7,xgboost_64_plus_delta_71-xgboost_64,-0.01689934061405307,-0.01358989755069806
7,xgboost_64_plus_delta_71-wt_signal_70,0.0017901298166083102,-0.04622070031609565
7,wt_signal_70_plus_delta_77-xgboost_64,-0.028147537605604733,0.008623358959517768
7,wt_signal_70_plus_delta_77-wt_signal_70,-0.009458067174943352,-0.024007443805879825
8,wt_signal_70-xgboost_64,0.019286646644946948,0.06387594273141431
8,xgboost_64_plus_delta_71-xgboost_64,-0.004062357398308403,-0.009314344687766679
8,xgboost_64_plus_delta_71-wt_signal_70,-0.02334900404325535,-0.07319028741918099
8,wt_signal_70_plus_delta_77-xgboost_64,0.0017085672443251099,0.030595388429317055
8,wt_signal_70_plus_delta_77-wt_signal_70,-0.017578079400621838,-0.033280554302097254
9,wt_signal_70-xgboost_64,-0.010519824023938473,0.02556235735190257
9,xgboost_64_plus_delta_71-xgboost_64,-0.03002547021943569,-0.016086692494718863
9,xgboost_64_plus_delta_71-wt_signal_70,-0.019505646195497217,-0.04164904984662143
9,wt_signal_70_plus_delta_77-xgboost_64,-0.02505165289256195,0.01429256234765261
9,wt_signal_70_plus_delta_77-wt_signal_70,-0.014531828868623475,-0.01126979500424996
10,wt_signal_70-xgboost_64,-0.011715575246355248,0.02941028632795456
10,xgboost_64_plus_delta_71-xgboost_64,-0.020183888642139713,-0.01579825424983808
10,xgboost_64_plus_delta_71-wt_signal_70,-0.008468313395784466,-0.04520854057779264
10,wt_signal_70_plus_delta_77-xgboost_64,-0.019441183462922895,0.007323047063124449
10,wt_signal_70_plus_delta_77-wt_signal_70,-0.007725608216567648,-0.02208723926483011
11,wt_signal_70-xgboost_64,0.028855624506121225,0.07860054740032207
11,xgboost_64_plus_delta_71-xgboost_64,-2.247031110147457e-05,-0.00455134099315091
11,xgboost_64_plus_delta_71-wt_signal_70,-0.0288780948172227,-0.08315188839347298
11,wt_signal_70_plus_delta_77-xgboost_64,0.008461944655623777,0.04043928769611532
11,wt_signal_70_plus_delta_77-wt_signal_70,-0.020393679850497448,-0.03816125970420675
12,wt_signal_70-xgboost_64,0.019437935925964323,0.059539916444199065
12,xgboost_64_plus_delta_71-xgboost_64,-0.008028515619689314,0.01182205173990089
12,xgboost_64_plus_delta_71-wt_signal_70,-0.027466451545653636,-0.047717864704298174
12,wt_signal_70_plus_delta_77-xgboost_64,0.003852237243429535,0.04720352939990899
12,wt_signal_70_plus_delta_77-wt_signal_70,-0.015585698682534788,-0.012336387044290076
13,wt_signal_70-xgboost_64,0.030278157145681717,0.06391115445139223
13,xgboost_64_plus_delta_71-xgboost_64,-0.0051663010939592136,-0.0009684192538121084
13,xgboost_64_plus_delta_71-wt_signal_70,-0.03544445823964093,-0.06487957370520434
13,wt_signal_70_plus_delta_77-xgboost_64,0.018310824171023588,0.054110244481726355
13,wt_signal_70_plus_delta_77-wt_signal_70,-0.01196733297465813,-0.009800909969665872
14,wt_signal_70-xgboost_64,0.01429536607075832,0.07197680505548171
14,xgboost_64_plus_delta_71-xgboost_64,0.003862858858730056,0.01891853792379461
14,xgboost_64_plus_delta_71-wt_signal_70,-0.010432507212028264,-0.0530582671316871
14,wt_signal_70_plus_delta_77-xgboost_64,0.005608759531137708,0.056214598575160396
14,wt_signal_70_plus_delta_77-wt_signal_70,-0.008686606539620612,-0.01576220648032131
15,wt_signal_70-xgboost_64,0.0232664364324201,0.06889790890378866
15,xgboost_64_plus_delta_71-xgboost_64,-0.007170339905995582,-0.0043891537463460195
15,xgboost_64_plus_delta_71-wt_signal_70,-0.030436776338415683,-0.07328706265013468
15,wt_signal_70_plus_delta_77-xgboost_64,0.017477143757881453,0.04999738956287286
15,wt_signal_70_plus_delta_77-wt_signal_70,-0.005789292674538649,-0.0189005193409158
16,wt_signal_70-xgboost_64,0.010550662326585192,0.030008685782786232
16,xgboost_64_plus_delta_71-xgboost_64,-0.025100523942975572,-0.007825507596214337
16,xgboost_64_plus_delta_71-wt_signal_70,-0.035651186269560764,-0.03783419337900057
16,wt_signal_70_plus_delta_77-xgboost_64,0.009889206078434687,0.036604949796505415
16,wt_signal_70_plus_delta_77-wt_signal_70,-0.0006614562481505049,0.006596264013719183
17,wt_signal_70-xgboost_64,-0.009191410223804652,0.02734878208499214
17,xgboost_64_plus_delta_71-xgboost_64,-0.03529930696846395,-0.01997355574805873
17,xgboost_64_plus_delta_71-wt_signal_70,-0.026107896744659298,-0.04732233783305087
17,wt_signal_70_plus_delta_77-xgboost_64,-0.028762398270600342,0.008607204326876228
17,wt_signal_70_plus_delta_77-wt_signal_70,-0.01957098804679569,-0.018741577758115913
18,wt_signal_70-xgboost_64,0.013743609749754082,0.045304178620541535
18,xgboost_64_plus_delta_71-xgboost_64,-0.006755987938783736,-0.026136372164919097
18,xgboost_64_plus_delta_71-wt_signal_70,-0.02049959768853782,-0.07144055078546063
18,wt_signal_70_plus_delta_77-xgboost_64,0.00015035882931413447,0.03972451024704304
18,wt_signal_70_plus_delta_77-wt_signal_70,-0.013593250920439948,-0.005579668373498492
19,wt_signal_70-xgboost_64,-0.011416011877304011,0.03332358592622511
19,xgboost_64_plus_delta_71-xgboost_64,-0.03148803547685586,-0.023691893743951864
19,xgboost_64_plus_delta_71-wt_signal_70,-0.020072023599551847,-0.05701547967017698
19,wt_signal_70_plus_delta_77-xgboost_64,-0.023605366494683477,-0.00014742775306839095
19,wt_signal_70_plus_delta_77-wt_signal_70,-0.012189354617379466,-0.033471013679293504
20,wt_signal_70-xgboost_64,-0.006568905842341266,0.013021174269691405
20,xgboost_64_plus_delta_71-xgboost_64,-0.00949872306084465,-0.012433947094184411
20,xgboost_64_plus_delta_71-wt_signal_70,-0.0029298172185033833,-0.025455121363875816
20,wt_signal_70_plus_delta_77-xgboost_64,-0.015255600863155805,-0.0005752870509460051
20,wt_signal_70_plus_delta_77-wt_signal_70,-0.008686695020814539,-0.01359646132063741
21,wt_signal_70-xgboost_64,-0.0015637660022687072,0.036837423333738795
21,xgboost_64_plus_delta_71-xgboost_64,-0.026020904229460462,-0.021630395444770856
21,xgboost_64_plus_delta_71-wt_signal_70,-0.024457138227191755,-0.05846781877850965
21,wt_signal_70_plus_delta_77-xgboost_64,-0.01830740560687094,-0.012300173170310014
21,wt_signal_70_plus_delta_77-wt_signal_70,-0.016743639604602234,-0.04913759650404881
22,wt_signal_70-xgboost_64,0.017722911590836277,0.0346243702876855
22,xgboost_64_plus_delta_71-xgboost_64,-0.009816420193778597,-0.01592478066842351
22,xgboost_64_plus_delta_71-wt_signal_70,-0.027539331784614873,-0.05054915095610901
22,wt_signal_70_plus_delta_77-xgboost_64,0.012824144899616585,0.03917864060164561
22,wt_signal_70_plus_delta_77-wt_signal_70,-0.0048987666912196914,0.004554270313960107
23,wt_signal_70-xgboost_64,0.0283065398288862,0.06233488168911891
23,xgboost_64_plus_delta_71-xgboost_64,-0.02482224479431172,-0.015232284397430101
23,xgboost_64_plus_delta_71-wt_signal_70,-0.05312878462319792,-0.07756716608654901
23,wt_signal_70_plus_delta_77-xgboost_64,0.014388893229675404,0.03495589438485036
23,wt_signal_70_plus_delta_77-wt_signal_70,-0.013917646599210798,-0.02737898730426855
24,wt_signal_70-xgboost_64,0.03155678255579997,0.0495934232646382
24,xgboost_64_plus_delta_71-xgboost_64,-0.005041879182069109,-0.004556858106334105
24,xgboost_64_plus_delta_71-wt_signal_70,-0.036598661737869076,-0.0541502813709723
24,wt_signal_70_plus_delta_77-xgboost_64,0.028936409152589992,0.0302434685201739
24,wt_signal_70_plus_delta_77-wt_signal_70,-0.0026203734032099746,-0.0193499547444643
25,wt_signal_70-xgboost_64,0.005587144949141809,0.018640368259932955
25,xgboost_64_plus_delta_71-xgboost_64,-0.003197051852047328,-0.0015421089405801836
25,xgboost_64_plus_delta_71-wt_signal_70,-0.008784196801189137,-0.020182477200513138
25,wt_signal_70_plus_delta_77-xgboost_64,-0.005743259585658578,0.01746720924245329
25,wt_signal_70_plus_delta_77-wt_signal_70,-0.011330404534800387,-0.0011731590174796636
26,wt_signal_70-xgboost_64,0.021399123822413824,0.048238061366669305
26,xgboost_64_plus_delta_71-xgboost_64,0.014830017986572464,0.0005177124007308409
26,xgboost_64_plus_delta_71-wt_signal_70,-0.00656910583584136,-0.047720348965938464
26,wt_signal_70_plus_delta_77-xgboost_64,0.008120670311470346,0.0234496477711309
26,wt_signal_70_plus_delta_77-wt_signal_70,-0.013278453510943478,-0.024788413595538406
27,wt_signal_70-xgboost_64,0.01728742395247218,0.0476487960737596
27,xgboost_64_plus_delta_71-xgboost_64,-0.017915797892090968,-0.017425856125558803
27,xgboost_64_plus_delta_71-wt_signal_70,-0.03520322184456315,-0.0650746521993184
27,wt_signal_70_plus_delta_77-xgboost_64,0.012484171641293784,0.03187116530719647
27,wt_signal_70_plus_delta_77-wt_signal_70,-0.0048032523111783965,-0.015777630766563133
28,wt_signal_70-xgboost_64,-0.008378343101851593,0.05437154443667802
28,xgboost_64_plus_delta_71-xgboost_64,-0.01759161999946135,-0.015276473160666826
28,xgboost_64_plus_delta_71-wt_signal_70,-0.009213276897609757,-0.06964801759734485
28,wt_signal_70_plus_delta_77-xgboost_64,-0.011386590921804274,0.044696742364951636
28,wt_signal_70_plus_delta_77-wt_signal_70,-0.0030082478199526808,-0.009674802071726385
29,wt_signal_70-xgboost_64,0.02097659621931469,0.0429121607400256
29,xgboost_64_plus_delta_71-xgboost_64,-0.010322202069774855,-0.01183725043978251
29,xgboost_64_plus_delta_71-wt_signal_70,-0.03129879828908955,-0.05474941117980811
29,wt_signal_70_plus_delta_77-xgboost_64,-0.007674364470481088,0.01640529562278492
29,wt_signal_70_plus_delta_77-wt_signal_70,-0.02865096068979578,-0.02650686511724068
30,wt_signal_70-xgboost_64,0.03183172002978407,0.05294996390414747
30,xgboost_64_plus_delta_71-xgboost_64,-0.0024223418676136976,0.0015329524103961933
