model,feature,importance,rank_within_model
wt_signal_70_plus_delta_77,ddg_esm2,0.031332746,1
wt_signal_70_plus_delta_77,deeploc_delta_signal_peptide,0.02663163,2
wt_signal_70_plus_delta_77,dist_to_nearest_TMD,0.02573846,3
wt_signal_70_plus_delta_77,deeploc_wt_signal_gpi_anchor,0.019820917,4
wt_signal_70_plus_delta_77,ddg_rasp,0.01772246,5
wt_signal_70_plus_delta_77,deeploc_wt_signal_signal_peptide,0.016831215,6
wt_signal_70_plus_delta_77,PC1,0.016148772,7
wt_signal_70_plus_delta_77,deeploc_wt_signal_peroxisomal_targeting_signal,0.01571608,8
wt_signal_70_plus_delta_77,PC34,0.015595702,9
wt_signal_70_plus_delta_77,deeploc_delta_gpi_anchor,0.01507757,10
wt_signal_70_plus_delta_77,PC7,0.014548773,11
wt_signal_70_plus_delta_77,PC17,0.014495971,12
wt_signal_70_plus_delta_77,plddt,0.0143754305,13
wt_signal_70_plus_delta_77,deeploc_wt_signal_nuclear_localisation_signal,0.014085231,14
wt_signal_70_plus_delta_77,ddg_struct,0.013946699,15
wt_signal_70_plus_delta_77,PC8,0.013882537,16
wt_signal_70_plus_delta_77,PC30,0.013738838,17
wt_signal_70_plus_delta_77,PC5,0.013505587,18
wt_signal_70_plus_delta_77,PC9,0.013403138,19
wt_signal_70_plus_delta_77,deeploc_delta_transmembrane_domain,0.013384712,20
wt_signal_70_plus_delta_77,PC36,0.01328464,21
wt_signal_70_plus_delta_77,deeploc_wt_signal_nuclear_export_signal,0.01302067,22
wt_signal_70_plus_delta_77,PC40,0.012874482,23
wt_signal_70_plus_delta_77,PC19,0.012829019,24
wt_signal_70_plus_delta_77,ddg_foldx,0.012729296,25
wt_signal_70_plus_delta_77,PC45,0.012718583,26
wt_signal_70_plus_delta_77,PC42,0.01270657,27
wt_signal_70_plus_delta_77,deeploc_delta_mitochondrial_transit_peptide,0.012591044,28
wt_signal_70_plus_delta_77,ss_helix,0.0125429435,29
wt_signal_70_plus_delta_77,PC12,0.0125056105,30
wt_signal_70_plus_delta_77,PC50,0.0124886315,31
wt_signal_70_plus_delta_77,PC38,0.012436271,32
wt_signal_70_plus_delta_77,PC43,0.012432775,33
wt_signal_70_plus_delta_77,PC46,0.012381849,34
wt_signal_70_plus_delta_77,PC2,0.012332969,35
wt_signal_70_plus_delta_77,sasa,0.0122508,36
wt_signal_70_plus_delta_77,deeploc_delta_nuclear_export_signal,0.012205347,37
wt_signal_70_plus_delta_77,PC16,0.012148512,38
